Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Energy Source 1,Energy Source 2,Multiple Fuels?,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
9231,City of Independence - (MO),2132,Blue Valley,MO,Jackson,ST1,OS,Natural Gas Steam Turbine,ST,Electric Utility,1,25.0,21,21,4,1958,NG,DFO,Y,Y,BIT,DFO,NG,,,,Y,Y,21,21,21,21,1H,1H,Y,Y,,
9231,City of Independence - (MO),2135,Station H,MO,Jackson,1,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,19.0,19,19,6,1972,NG,DFO,Y,Y,DFO,NG,,,,,Y,Y,19,19,19,19,1H,1H,Y,Y,,
9231,City of Independence - (MO),2135,Station H,MO,Jackson,2,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,24.0,20,20,6,1974,NG,DFO,Y,Y,DFO,NG,,,,,Y,Y,20,20,20,20,1H,1H,Y,Y,,
9603,City of Jackson - (MO),2137,Jackson (MO),MO,Cape Girardeau,3,OP,Petroleum Liquids,IC,Electric Utility,1,1.0,1,1,4,1963,DFO,NG,Y,Y,DFO,NG,,,,,Y,N,0.9,0.9,0.9,0.9,1H,1H,N,,,
9603,City of Jackson - (MO),2137,Jackson (MO),MO,Cape Girardeau,4,OP,Petroleum Liquids,IC,Electric Utility,1,1.0,1,1,7,1963,DFO,NG,Y,Y,DFO,NG,,,,,Y,N,1,1,1,1,1H,1H,N,,,
9603,City of Jackson - (MO),2137,Jackson (MO),MO,Cape Girardeau,7,OP,Petroleum Liquids,IC,Electric Utility,1,6.8,6.5,6.8,8,1973,DFO,NG,Y,Y,DFO,NG,,,,,Y,N,6.5,6.5,6.5,6.5,UNK,UNK,N,,,
9603,City of Jackson - (MO),2137,Jackson (MO),MO,Cape Girardeau,8,OP,Petroleum Liquids,IC,Electric Utility,1,6.8,6.5,6.8,7,1973,DFO,NG,Y,Y,DFO,NG,,,,,Y,N,6.5,6.5,6.5,6.5,UNK,UNK,N,,,
9603,City of Jackson - (MO),2137,Jackson (MO),MO,Cape Girardeau,9,OP,Petroleum Liquids,IC,Electric Utility,1,3.0,2.7,3,7,1983,DFO,NG,Y,Y,DFO,NG,,,,,Y,N,2.7,2.7,2.7,2.7,UNK,UNK,N,,,
9973,City of Kahoka,2138,Kahoka,MO,Clark,7,SB,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,0.8,0.7,0.8,1,1956,NG,DFO,Y,Y,DFO,NG,,,,,N,, , , , ,,,,,,
9973,City of Kahoka,2138,Kahoka,MO,Clark,8,SB,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.5,1.4,1.5,9,1969,NG,DFO,Y,Y,DFO,NG,,,,,N,, , , , ,,,,,,
9973,City of Kahoka,2138,Kahoka,MO,Clark,9,SB,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,0.9,0.8,0.9,7,1982,NG,DFO,Y,Y,DFO,NG,,,,,N,, , , , ,,,,,,
10152,City of Kennett - (MO),2139,Kennett,MO,Dunklin,10,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,6.2,5.6,5.6,8,1971,NG,DFO,Y,Y,DFO,NG,,,,,Y,Y,5.6,5.6,5.6,5.6,1H,1H,Y,Y,,
10152,City of Kennett - (MO),2139,Kennett,MO,Dunklin,11,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,6.2,5.6,5.6,8,1975,NG,DFO,Y,Y,DFO,NG,,,,,Y,Y,5.6,5.6,5.6,5.6,1H,1H,Y,Y,,
10152,City of Kennett - (MO),2139,Kennett,MO,Dunklin,9,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,6.2,5.6,5.6,8,1965,NG,DFO,Y,Y,DFO,NG,,,,,Y,Y,5.6,5.6,5.6,5.6,1H,1H,Y,Y,,
11732,City of Marshall - (MO),2144,Marshall (MO),MO,Saline,10,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,6.3,6.3,6.3,6,1990,NG,DFO,Y,N,,,,,,,Y,Y,6.3,6.3,6.3,6.3,1H,1H,Y,,Y,
11732,City of Marshall - (MO),2144,Marshall (MO),MO,Saline,11,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,6.3,6.3,6.3,1,1994,NG,DFO,Y,N,,,,,,,Y,Y,6.3,6.3,6.3,6.3,1H,1H,Y,,Y,
11732,City of Marshall - (MO),2144,Marshall (MO),MO,Saline,GT1,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,15.2,14,17,5,1972,NG,DFO,Y,N,,,,,,,Y,Y,14,14.5,14,14,1H,1H,N,,,
12294,City of Memphis - (MO),2145,Memphis,MO,Scotland,1,OP,Petroleum Liquids,IC,Electric Utility,1,0.6,0.6,0.6,12,1972,DFO,NG,Y,N,,,,,,,Y,Y,0.6,0.6,0.6,0.6,1H,1H,N,,,
12294,City of Memphis - (MO),2145,Memphis,MO,Scotland,8,OP,Petroleum Liquids,IC,Electric Utility,1,1.3,1.3,1.3,12,1966,DFO,NG,Y,N,,,,,,,Y,Y,1.2,1.2,1.2,1.2,1H,1H,N,,,
12294,City of Memphis - (MO),2145,Memphis,MO,Scotland,9,OP,Petroleum Liquids,IC,Electric Utility,1,1.3,1.3,1.3,12,1972,DFO,NG,Y,N,,,,,,,Y,Y,1.2,1.2,1.2,1.2,1H,1H,N,,,
17833,City Utilities of Springfield - (MO),2161,James River Power Station,MO,Greene,GT1,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,96.0,75,75,4,1989,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,75,75,75,75,1H,1H,Y,,Y,
17833,City Utilities of Springfield - (MO),2161,James River Power Station,MO,Greene,GT2,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,101.5,80,80,6,1992,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,80,80,80,80,1H,1H,Y,,Y,
19474,City of Unionville - (MO),2164,Unionville City of,MO,Putnam,2,OP,Petroleum Liquids,IC,Electric Utility,1,1.7,1.7,1.7,10,1975,DFO,NG,Y,N,,,,,,,Y,Y,1.5,1.5,1.5,1.5,UNK,UNK,N,,,
19474,City of Unionville - (MO),2164,Unionville City of,MO,Putnam,8,OP,Petroleum Liquids,IC,Electric Utility,1,1.3,1.1,1.1,1,1967,DFO,NG,Y,N,,,,,,,Y,Y,1,1,1,1,UNK,UNK,N,,,
12199,Montana-Dakota Utilities Co,2176,Glendive GT,MT,Dawson,GT-2,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,43.0,40.1,43.2,5,2003,NG,DFO,Y,Y,NG,DFO,,,,,Y,N,40.4,42,38.7,40.3,1H,1H,Y,Y,,
12199,Montana-Dakota Utilities Co,2176,Glendive GT,MT,Dawson,GT1,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,40.7,34.8,40.9,6,1979,NG,DFO,Y,Y,NG,DFO,,,,,Y,N,34.6,43.7,32.6,41.7,1H,1H,Y,Y,,
12199,Montana-Dakota Utilities Co,2177,Miles City GT,MT,Custer,1,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,23.3,23.6,27.5,5,1972,NG,DFO,Y,Y,NG,DFO,,,,,Y,N,22.6,24.5,20.6,22.5,1H,1H,Y,Y,,
695,City of Ansley - (NE),2214,Ansley,NE,Custer,2,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,0.9,0.8,0.8,10,1976,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,0.8,0.8,0.8,0.8,1H,1H,Y,Y,,
993,Auburn Board of Public Works,2215,Auburn,NE,Nemaha,1,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,2.4,2.2,2.4,4,1982,NG,DFO,Y,N,,,,,,,Y,Y,2.2,2.2,2.2,2.2,1H,1H,Y,Y,Y,
993,Auburn Board of Public Works,2215,Auburn,NE,Nemaha,2,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.0,0.9,1,6,1949,NG,DFO,Y,N,,,,,,,Y,Y,0.9,0.9,0.9,0.9,1H,1H,Y,Y,Y,
993,Auburn Board of Public Works,2215,Auburn,NE,Nemaha,4A,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,3.7,3.7,3.7,6,1993,NG,DFO,Y,N,,,,,,,Y,Y,3.7,3.7,3.7,3.7,1H,1H,Y,Y,Y,
993,Auburn Board of Public Works,2215,Auburn,NE,Nemaha,5,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,3.3,3,3.3,7,1973,NG,DFO,Y,N,,,,,,,Y,Y,3,3,3,3,1H,1H,Y,Y,Y,
993,Auburn Board of Public Works,2215,Auburn,NE,Nemaha,6,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,2.7,2.5,2.7,5,1967,NG,DFO,Y,N,,,,,,,Y,Y,2.5,2.5,2.5,2.5,1H,1H,Y,Y,Y,
993,Auburn Board of Public Works,2215,Auburn,NE,Nemaha,7,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,5.6,5.2,5.6,7,1987,NG,DFO,Y,N,,,,,,,Y,Y,5.2,5.2,5.2,5.2,1H,1H,Y,Y,Y,
2277,City of Broken Bow - (NE),2221,Broken Bow,NE,Custer,2,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,3.5,3.5,3.5,12,1970,NG,DFO,Y,N,,,,,,,Y,Y,3.5,3.5,3.5,3.5,1H,1H,N,,,
2277,City of Broken Bow - (NE),2221,Broken Bow,NE,Custer,4,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,0.8,0.7,0.7,12,1951,NG,DFO,Y,N,,,,,,,Y,Y,0.7,0.7,0.7,0.7,1H,1H,N,,,
2277,City of Broken Bow - (NE),2221,Broken Bow,NE,Custer,5,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.0,1,1,12,1951,NG,DFO,Y,N,,,,,,,Y,Y,1,1,1,1,1H,1H,N,,,
2277,City of Broken Bow - (NE),2221,Broken Bow,NE,Custer,6,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,2.1,2,2,12,1961,NG,DFO,Y,N,,,,,,,Y,N,2,2,1.8,1.8,1H,1H,N,,,
4527,City of Crete,2231,Crete,NE,Saline,7,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,6.0,6,6.1,6,1973,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,6,6,6,6,1H,1H,N,,,
4661,City of Curtis - (NE),2232,Curtis,NE,Frontier,2,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,0.9,0.8,0.8,1,1955,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,0.8,0.8,0.8,0.8,UNK,UNK,Y,Y,Y,
4661,City of Curtis - (NE),2232,Curtis,NE,Frontier,3,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.1,1,1,1,1969,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,1,1,1,1,UNK,UNK,Y,Y,Y,
4661,City of Curtis - (NE),2232,Curtis,NE,Frontier,4,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.4,1.2,1.2,1,1975,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,1.2,1.2,1.2,1.2,UNK,UNK,Y,Y,Y,
4836,City of David City,2233,David City,NE,Butler,1,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.5,1.3,1.3,1,1960,NG,DFO,Y,N,,,,,,,Y,Y,1.3,1.3,1.3,1.3,6H,6H,N,,,
4836,City of David City,2233,David City,NE,Butler,3,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.0,0.9,0.9,1,1955,NG,DFO,Y,N,,,,,,,Y,Y,0.9,0.9,0.9,0.9,6H,6H,N,,,
4836,City of David City,2233,David City,NE,Butler,4,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,2.3,1.8,1.8,1,1966,NG,DFO,Y,N,,,,,,,Y,Y,1.8,1.8,1.8,1.8,6H,6H,N,,,
5850,City of Emerson - (NE),2235,Emerson,NE,Dixon,2,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.1,1.1,1.1,1,1968,NG,DFO,Y,N,,,,,,,Y,Y,1.1,1.1,1.1,1.1,1H,1H,N,,,
5850,City of Emerson - (NE),2235,Emerson,NE,Dixon,4,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,0.4,0.4,0.4,1,1960,NG,DFO,Y,N,,,,,,,Y,Y,0.4,0.4,0.4,0.4,1H,1H,N,,,
6175,City of Falls City - (NE),2237,Falls City,NE,Richardson,3,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,2.7,2.3,2.3,2,1965,NG,DFO,Y,N,,,,,,,Y,Y,2.3,2.3,2,2,1H,1H,Y,Y,Y,
6175,City of Falls City - (NE),2237,Falls City,NE,Richardson,4,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.1,0.8,0.8,8,1946,NG,DFO,Y,N,,,,,,,Y,Y,0.8,0.8,0.8,0.8,1H,1H,Y,Y,Y,
6175,City of Falls City - (NE),2237,Falls City,NE,Richardson,5,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,2.0,1.4,1.4,11,1950,NG,DFO,Y,N,,,,,,,Y,Y,1.4,1.4,1.2,1.2,1H,1H,Y,Y,Y,
6175,City of Falls City - (NE),2237,Falls City,NE,Richardson,6,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,2.5,2,2,2,1958,NG,DFO,Y,N,,,,,,,Y,Y,2,2,2,2,1H,1H,Y,Y,Y,
6175,City of Falls City - (NE),2237,Falls City,NE,Richardson,7,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,6.2,5.9,5.9,6,1972,NG,DFO,Y,N,,,,,,,Y,Y,5.9,5.9,5.9,5.9,1H,1H,Y,Y,Y,
6175,City of Falls City - (NE),2237,Falls City,NE,Richardson,8,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,6.0,6,6,3,1982,NG,DFO,Y,N,,,,,,,Y,Y,6,6,6,6,1H,1H,Y,Y,Y,
6175,City of Falls City - (NE),2237,Falls City,NE,Richardson,9,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,9.3,9.3,9.3,8,2018,NG,DFO,Y,N,,,,,,,Y,Y,9.3,9.3,9.3,9.3,1H,1H,Y,Y,Y,
6723,City of Franklin - (NE),2238,Franklin (NE),NE,Franklin,1,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,0.6,0.6,0.6,7,1963,NG,DFO,Y,Y,NG,DFO,,,,,N,, , , , ,,,,,,
6723,City of Franklin - (NE),2238,Franklin (NE),NE,Franklin,2,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.3,1.3,1.3,10,1974,NG,DFO,Y,Y,NG,DFO,,,,,N,, , , , ,,,,,,
6723,City of Franklin - (NE),2238,Franklin (NE),NE,Franklin,3,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.1,1.1,1.1,11,1969,NG,DFO,Y,Y,NG,DFO,,,,,N,, , , , ,,,,,,
6723,City of Franklin - (NE),2238,Franklin (NE),NE,Franklin,4,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,0.9,0.9,0.9,1,1955,NG,DFO,Y,Y,NG,DFO,,,,,N,, , , , ,,,,,,
6779,City of Fremont - (NE),2240,Lon Wright,NE,Dodge,5OT,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,40.0,38,40,11,2003,NG,DFO,Y,N,,,,,,,Y,Y,38,40,38,40,1H,1H,Y,Y,Y,
40606,City of Grand Island - (NE),2241,C W Burdick,NE,Hall,GT1,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,16.0,13.6,14.8,3,1968,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,13.6,14.8,13.6,14.8,1H,1H,Y,Y,,
40606,City of Grand Island - (NE),2241,C W Burdick,NE,Hall,GT2,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,63.4,34,40,4,2003,NG,DFO,Y,N,,,,,,,Y,Y,34,40,34,40,1H,1H,Y,Y,,
40606,City of Grand Island - (NE),2241,C W Burdick,NE,Hall,GT3,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,63.4,34,40,4,2003,NG,DFO,Y,N,,,,,,,Y,Y,34,40,34,40,1H,1H,Y,Y,,
8245,City of Hastings - (NE),2243,Don Henry,NE,Adams,1,SB,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,22.0,18,18,6,1972,NG,DFO,Y,N,,,,,,,Y,Y,18,18,18,18,1H,1H,Y,Y,Y,Y
10760,City of Laurel - (NE),2249,Laurel,NE,Cedar,1,SB,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.3,1.1,1.2,10,1974,NG,DFO,Y,Y,DFO,NG,,,,,Y,Y,1.1,1.1,1.1,1.1,UNK,UNK,Y,Y,Y,
10760,City of Laurel - (NE),2249,Laurel,NE,Cedar,2,SB,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,0.9,0.7,0.8,1,1970,NG,DFO,Y,Y,DFO,NG,,,,,Y,Y,0.7,0.7,0.7,0.7,UNK,UNK,Y,Y,Y,
10760,City of Laurel - (NE),2249,Laurel,NE,Cedar,7,SB,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.3,1.1,1.2,10,1992,NG,DFO,Y,Y,DFO,NG,,,,,Y,Y,1.1,1.1,1.1,1.1,UNK,UNK,Y,Y,Y,
11018,Lincoln Electric System,2250,J Street,NE,Lancaster,1,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,27.0,29,31.7,2,1972,NG,DFO,Y,N,,,,,,,Y,Y,29,31.7,31,31.7,1H,1H,N,,,
14127,Omaha Public Power District,2291,North Omaha,NE,Douglas,4,OP,Conventional Steam Coal,ST,Electric Utility,1,136.0,120.1,111.8,3,1963,SUB,NG,Y,Y,SUB,NG,,,,,N,, , , , ,,,,,,
14127,Omaha Public Power District,2291,North Omaha,NE,Douglas,5,OP,Conventional Steam Coal,ST,Electric Utility,1,217.6,216.2,174.8,5,1968,SUB,NG,Y,Y,SUB,NG,,,,,N,, , , , ,,,,,,
14127,Omaha Public Power District,2292,Sarpy County,NE,Sarpy,1,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,55.4,55.4,55.4,6,1972,NG,DFO,Y,N,,,,,,,Y,Y,55.4,55.4,55.4,55.4,1H,1H,Y,Y,,
14127,Omaha Public Power District,2292,Sarpy County,NE,Sarpy,2,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,55.4,55.9,55.9,6,1972,NG,DFO,Y,N,,,,,,,Y,Y,55.9,55.9,55.9,55.9,1H,1H,Y,Y,,
14127,Omaha Public Power District,2292,Sarpy County,NE,Sarpy,3,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,106.3,107.8,107.8,5,1996,NG,DFO,Y,N,,,,,,,Y,Y,107.7,107.7,107.7,107.7,1H,1H,Y,Y,,
14127,Omaha Public Power District,2292,Sarpy County,NE,Sarpy,4,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,58.9,48.7,48.7,5,2000,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,49,49,49,49,1H,1H,Y,Y,,
14127,Omaha Public Power District,2292,Sarpy County,NE,Sarpy,5,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,58.9,47.9,47.9,5,2000,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,47.9,47.9,47.9,47.9,1H,1H,Y,Y,,
14172,City of Ord - (NE),2294,Ord,NE,Valley,1,OP,Petroleum Liquids,IC,Electric Utility,1,5.0,5,5,1,1973,DFO,NG,Y,N,,,,,,,Y,Y,5,5,5,5,1H,1H,N,,,
14172,City of Ord - (NE),2294,Ord,NE,Valley,2,OP,Petroleum Liquids,IC,Electric Utility,1,1.5,1,1,1,1966,DFO,NG,Y,N,,,,,,,Y,Y,1,1,1,1,1H,1H,N,,,
14172,City of Ord - (NE),2294,Ord,NE,Valley,3,OP,Petroleum Liquids,IC,Electric Utility,1,2.5,2,2,1,1963,DFO,NG,Y,N,,,,,,,Y,Y,2,2,2,2,1H,1H,N,,,
14277,Village of Oxford - (NE),2295,Oxford (NE),NE,Furnas,2,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,0.6,0.5,0.6,8,1953,NG,DFO,Y,Y,DFO,NG,,,,,Y,Y,0.5,0.5,0.5,0.6,1H,1H,Y,Y,Y,
14277,Village of Oxford - (NE),2295,Oxford (NE),NE,Furnas,3,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,0.9,0.8,0.9,1,1956,NG,DFO,Y,Y,DFO,NG,,,,,Y,Y,0.5,0.5,0.5,0.9,1H,1H,Y,Y,Y,
14277,Village of Oxford - (NE),2295,Oxford (NE),NE,Furnas,4,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,0.6,0.5,0.6,1,1956,NG,DFO,Y,Y,DFO,NG,,,,,Y,Y,0.5,0.5,0.5,0.6,1H,1H,Y,Y,Y,
14277,Village of Oxford - (NE),2295,Oxford (NE),NE,Furnas,5,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.3,1.2,1.3,10,1972,NG,DFO,Y,Y,DFO,NG,,,,,Y,Y,1.2,1.2,1.2,1.2,1H,1H,Y,Y,Y,
14656,City of Pender - (NE),2296,Pender,NE,Thurston,1,OP,Petroleum Liquids,IC,Electric Utility,1,1.5,1.2,1.2,1,1968,DFO,NG,Y,N,,,,,,,Y,Y,1.1,1.1,1.2,1.2,1H,1H,N,,,
14656,City of Pender - (NE),2296,Pender,NE,Thurston,3,OP,Petroleum Liquids,IC,Electric Utility,1,0.5,0.5,0.5,1,1953,DFO,NG,Y,N,,,,,,,Y,Y,0.5,0.5,0.5,0.5,1H,1H,N,,,
14656,City of Pender - (NE),2296,Pender,NE,Thurston,4,OP,Petroleum Liquids,IC,Electric Utility,1,0.9,0.8,0.8,1,1961,DFO,NG,Y,N,,,,,,,Y,Y,0.8,0.8,0.8,0.8,1H,1H,N,,,
17149,City of Sidney - (NE),2302,Sidney (NE),NE,Cheyenne,1,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.2,1,1.1,1,1949,NG,DFO,Y,N,,,,,,,Y,Y,0.96,0.96,0.96,0.96,UNK,UNK,Y,,Y,Y
17149,City of Sidney - (NE),2302,Sidney (NE),NE,Cheyenne,5,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,3.1,2.5,2.5,1,1955,NG,DFO,Y,Y,DFO,NG,,,,,Y,Y,2.5,2.5,2.5,2.5,UNK,UNK,Y,,Y,Y
18525,City of Tecumseh,2308,Tecumseh,NE,Johnson,2,OP,Petroleum Liquids,IC,Electric Utility,1,1.5,1.4,1.4,1,1968,DFO,NG,Y,N,,,,,,,Y,Y,1.4,1.4,1.4,1.4,UNK,UNK,Y,,Y,
18525,City of Tecumseh,2308,Tecumseh,NE,Johnson,3,OP,Petroleum Liquids,IC,Electric Utility,1,1.1,1,1,1,1953,DFO,NG,Y,N,,,,,,,Y,Y,1,1,1,1,UNK,UNK,Y,,Y,
18525,City of Tecumseh,2308,Tecumseh,NE,Johnson,4,OP,Petroleum Liquids,IC,Electric Utility,1,1.3,1.2,1.2,1,1960,DFO,NG,Y,N,,,,,,,Y,Y,1.2,1.2,1.2,1.2,UNK,UNK,Y,,Y,
18525,City of Tecumseh,2308,Tecumseh,NE,Johnson,5A,OP,Petroleum Liquids,IC,Electric Utility,1,2.4,2.4,2.4,3,1993,DFO,NG,Y,N,,,,,,,Y,Y,2.4,2.4,2.4,2.4,UNK,UNK,Y,,Y,
19968,City of Wahoo - (NE),2310,Wahoo,NE,Saunders,1,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,2.5,2.1,2.1,9,1960,NG,DFO,Y,N,,,,,,,Y,Y,2.1,2.1,2.1,2.1,1H,1H,Y,Y,Y,
19968,City of Wahoo - (NE),2310,Wahoo,NE,Saunders,3,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,4.4,4.4,4.4,8,1973,NG,DFO,Y,N,,,,,,,Y,Y,4.4,4.4,4.4,4.4,1H,1H,Y,Y,Y,
19968,City of Wahoo - (NE),2310,Wahoo,NE,Saunders,4,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.2,1.1,1.1,6,1947,NG,DFO,Y,N,,,,,,,Y,Y,1.1,1.1,1.1,1.1,1H,1H,Y,Y,Y,
19968,City of Wahoo - (NE),2310,Wahoo,NE,Saunders,5,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,2.1,2.2,2.2,9,1952,NG,DFO,Y,N,,,,,,,Y,Y,2.1,2.1,2.1,2.1,1H,1H,Y,Y,Y,
19968,City of Wahoo - (NE),2310,Wahoo,NE,Saunders,6,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,3.5,3.4,3.4,7,1969,NG,DFO,Y,N,,,,,,,Y,Y,3.4,3.4,3.4,3.4,1H,1H,Y,Y,Y,
19980,City of Wakefield - (NE),2311,Wakefield,NE,Dixon,2,OP,Petroleum Liquids,IC,Electric Utility,1,0.6,0.5,0.5,1,1915,DFO,NG,Y,Y,NG,DFO,,,,,Y,N,0.5,0.5,0.5,0.5,6H,6H,Y,Y,Y,
19980,City of Wakefield - (NE),2311,Wakefield,NE,Dixon,5,OP,Petroleum Liquids,IC,Electric Utility,1,1.3,1,1,1,1966,DFO,NG,Y,Y,NG,DFO,,,,,Y,N,1,1,1,1,6H,6H,Y,Y,Y,
19980,City of Wakefield - (NE),2311,Wakefield,NE,Dixon,6,OP,Petroleum Liquids,IC,Electric Utility,1,1.3,1.1,1.1,1,1971,DFO,NG,Y,Y,NG,DFO,,,,,Y,N,1.1,1.1,1.1,1.1,6H,6H,Y,Y,Y,
19980,City of Wakefield - (NE),2311,Wakefield,NE,Dixon,IC4,OP,Petroleum Liquids,IC,Electric Utility,1,0.9,0.6,0.6,1,1961,DFO,NG,Y,Y,NG,DFO,,,,,Y,N,0.6,0.6,0.6,0.6,6H,6H,Y,Y,Y,
20397,City of West Point - (NE),2313,West Point Municipal,NE,Cuming,2,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,0.9,0.9,0.9,5,1947,NG,DFO,Y,Y,NG,DFO,,,,,N,, , , , ,,,,,,
20397,City of West Point - (NE),2313,West Point Municipal,NE,Cuming,3,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,1.2,1.2,1.2,7,1959,NG,DFO,Y,Y,NG,DFO,,,,,N,, , , , ,,,,,,
20397,City of West Point - (NE),2313,West Point Municipal,NE,Cuming,4,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,2.3,2.3,2.3,8,1965,NG,DFO,Y,Y,NG,DFO,,,,,N,, , , , ,,,,,,
62032,Granite Shore Power,2367,Schiller,NH,Rockingham,4,OP,Conventional Steam Coal,ST,Electric Utility,1,50.0,47.5,48,10,1952,BIT,RFO,Y,Y,BIT,RFO,,,,,N,, , , , ,,,,,,
