Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation
16572,Salt River Project,141,Agua Fria,AZ,Maricopa,AFSB1,OP,Batteries,BA,Electric Utility,1,25.0,25.0,25.0,9,2021,100,25,25,LIB,,,,25,OT,Y,,,,,,Y,,,,
54802,Dynegy -Moss Landing LLC,260,Dynegy Moss Landing Power Plant Hybrid,CA,Monterey,BAT1,OP,Batteries,BA,IPP Non-CHP,2,300.0,300.0,300.0,5,2021,1200,300,300,LIB,,,,98.4,BL,Y,Y,,,,,,,,,
54802,Dynegy -Moss Landing LLC,260,Dynegy Moss Landing Power Plant Hybrid,CA,Monterey,BAT2,OP,Batteries,BA,IPP Non-CHP,2,100.0,100.0,100.0,5,2021,400,100,100,LIB,,,,32.8,BL,Y,Y,,,,,,,,,
9216,Imperial Irrigation District,389,El Centro Hybrid,CA,Imperial,BESS,OP,Batteries,BA,Electric Utility,1,30.0,18.9,29.0,10,2016,20,30,30,LIB,,,,14.4,BL,N,Y,Y,Y,N,,,,Y,,
18454,Tampa Electric Co,645,Big Bend,FL,Hillsborough,BESS1,OP,Batteries,BA,Electric Utility,1,12.6,12.6,12.6,2,2017,26.1,12.6,12.6,LIB,,,,10.1,CS,Y,,,,,,,,,,Y
11843,Maui Electric Co Ltd,792,Palaau Power Hybrid,HI,Maui,BAT1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,5,2017,2,0.5,0.5,OTH,,,,2,CS,,Y,,,,,,,,,
9273,Indianapolis Power & Light Co,990,Harding Street,IN,Marion,BAT1,OP,Batteries,BA,Electric Utility,1,20.0,20.0,20.0,6,2016,20,20,20,LIB,,,,20,BL,,Y,,,,,,,,,
6235,Fayetteville Public Works Commission,1016,Butler-Warner Generation Plant,NC,Cumberland,11,OP,Batteries,BA,Electric Utility,1,0.5,0.5,0.5,9,2019,0.5,0.3,0.5,LIB,,,,0.6,CS,,,,,,Y,,Y,,,
31719,FPL Energy Wyman LLC,1507,William F Wyman Hybrid,ME,Cumberland,BESS,OP,Batteries,BA,IPP Non-CHP,2,16.7,16.2,16.2,12,2016,10.9,16.7,16.2,LIB,,,,10.2,CS,,Y,,,,,,,,,
13206,Nantucket Electric Co,1615,Nantucket Hybrid,MA,Nantucket,20,OP,Batteries,BA,Electric Utility,1,6.0,6.0,6.0,7,2019,48,6,6,LIB,,,,7,BL,,,,,,Y,,,,Y,
18488,City of Taunton,1682,Cleary Flood Hybrid,MA,Bristol,BS1,OP,Batteries,BA,Electric Utility,1,3.0,2.9,3.0,3,2020,6,3,3,LIB,,,,3,CS,Y,,,,,,Y,Y,,,
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,OH,Clermont,BECK1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,1,2015,1,2,2,OTH,,,,2,CS,,Y,,,,,,,,,
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,OH,Clermont,BECK2,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,11,2015,0.8,2,2,OTH,,,,2,CS,,Y,,,,,,,,,
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,ES1,OP,Batteries,BA,Electric Utility,1,1.2,1.2,1.2,12,2015,1,1.2,1.2,LIB,,,,1.2,CT,,Y,Y,Y,Y,,Y,Y,,Y,Y
